number,group,toxicant,time,Casp7,Chek,Gclc,Gstm1,Gstp1,Gstt1,Hmox,Nfe2l2,Nqo1,Ripk,Sod1,AST,ALT,LDG,AP,TG,HST,protein,MA
22,Geptor,EtOH,24h,1.271666667,.201428571,-.312857143,8.097142857,.19,.452857143,-4.714285714,-3.931428571,1.7,1.048571429,.393333333,137.8,39.8,1466,428.2,1.06,1.78,68.9,93.4
23,Geptor,EtOH,24h,-.32,-1.048571429,-.392857143,1.037142857,-.08,.822857143,-6.414285714,-5.581428571,.52,-.551428571,-.936666667,138.5,31.6,2007,371.6,.45,2.22,60.8,105.7
24,Geptor,EtOH,24h,.201666667,-.258571429,-.082857143,2.737142857,1.08,.402857143,-6.084285714,-4.851428571,.29,-.091428571,-.186666667,132.8,26.3,1981,394.1,.74,1.59,57.1,98
25,Geptor,EtOH,24h,-.748333333,-.708571429,-.602857143,1.607142857,.76,.122857143,-7.254285714,-5.961428571,-1.67,-.931428571,-.386666667,121.6,29.3,1610,240.5,.83,1.74,58.1,125.8
26,Geptor,EtOH,24h,.301666667,-.408571429,-.372857143,-2.262857143,.78,.612857143,-6.874285714,-4.951428571,.99,-.521428571,-.996666667,140.8,32.9,1595,424,1.43,1.98,64.6,126.4
27,Geptor,EtOH,24h,-.318333333,.841428571,-.892857143,2.287142857,1.42,.882857143,-6.874285714,-5.451428571,2.45,.718571429,.803333333,142.3,38.2,1525,357.3,.68,2.37,57.6,115
28,Geptor,EtOH,24h,-.528333333,.801428571,-.702857143,-1.292857143,.92,.822857143,-5.694285714,-4.291428571,1.72,-.391428571,.173333333,133.3,36.3,1675,335.3,1.88,2.5,64.5,143
22,Geptor,EtOH,72h,-.468,-2.581666667,-.565,-.881428571,-2.13,-1.422857143,-2.335714286,-.815714286,.215714286,-1.857142857,-2.28,136.2,33.4,993.9,317.3,.81,1.67,52.6,134.4
23,Geptor,EtOH,72h,-.758,-.881666667,-.195,-1.131428571,-1.81,-1.352857143,1.154285714,-1.225714286,1.435714286,-1.387142857,-2.59,138.1,22,1442,320.9,.66,1.83,59.4,139.4
24,Geptor,EtOH,72h,-.928,-1.601666667,.395,-1.141428571,-.57,-1.792857143,-1.555714286,-.745714286,.805714286,-1.757142857,-1.86,136.2,33.4,993.9,317.3,.81,1.67,52.6,134.4
25,Geptor,EtOH,72h,-.278,-1.591666667,-.305,.128571429,-1.44,-1.042857143,-.915714286,-1.005714286,.165714286,-.147142857,-1.2,162.3,28,1370,310.9,1.13,1.68,72.5,122.2
