number,group,toxicant,time,Casp7,Chek,Gclc,Gstm1,Gstp1,Gstt1,Hmox,Nfe2l2,Nqo1,Ripk,Sod1,AST,ALT,LDG,AP,TG,HST,protein,MA
38,Mexidol,APAP,24h,-.6,-1.652857143,.658571429,1.251428571,-1.384285714,.488571429,.858571429,-.6,2.548571429,-.578571429,.001428571,218.5,81.7,2661,330.4,1.04,2.12,66.9,118.1
39,Mexidol,APAP,24h,-.601666667,-1.832857143,.468571429,1.171428571,-.554285714,-.151428571,-1.051428571,-2.04,2.238571429,-1.538571429,1.131428571,173.5,65.3,3060,398.3,1.16,1.96,58.6,128.5
40,Mexidol,APAP,24h,.858333333,-.692857143,-2.421428571,-1.198571429,-1.664285714,-.121428571,-.271428571,-1.58,3.298571429,-.558571429,-.548571429,193.9,75.9,2668,436,1.03,2.13,61.9,119.9
41,Mexidol,APAP,24h,-1.331666667,-1.432857143,-.721428571,1.091428571,-1.154285714,-.241428571,-1.591428571,-1.14,2.028571429,-.58,.541428571,194,61.3,2521,551.2,1.16,2.34,62.2,126.7
42,Mexidol,APAP,24h,-.691666667,-1.192857143,-.151428571,1.251428571,-1.284285714,-.061428571,2.568571429,1,.798571429,-.678571429,.361428571,185.1,81.9,2095,538.2,1.24,2.26,54.5,120.2
36,Mexidol,APAP,72h,1.081428571,-.18,-.957142857,1.865714286,5.284285714,.821428571,-3.191428571,-.294285714,-.012857143,.932857143,.102857143,198.5,58.5,2690,300.2,1.19,2.1,63.2,98.6
37,Mexidol,APAP,72h,.901428571,.18,-1.637142857,1.205714286,1.354285714,-.098571429,.558571429,-1.124285714,-.042857143,.312857143,-.417142857,235.4,65.7,2271,385.8,.91,2.71,61.5,128.2
38,Mexidol,APAP,72h,1.171428571,-1.9,-1.147142857,.555714286,.474285714,2.111428571,.858571429,-1.094285714,2.057142857,.412857143,-.887142857,192.3,66.6,2271,385.8,1.38,2.33,57.5,103.6
39,Mexidol,APAP,72h,-1.108571429,-.725,-2.057142857,3.165714286,.134285714,-.468571429,-1.051428571,1.265714286,1.557142857,1.422857143,-1.917142857,207.2,60.7,2587,188.8,.92,2.2,63.3,106.3
40,Mexidol,APAP,72h,.801428571,-1.27,-2.327142857,1.755714286,4.204285714,.771428571,-.271428571,.075714286,-.242857143,1.442857143,.552857143,192.3,60.9,2530,317.4,1.05,1.99,64.1,98.3
41,Mexidol,APAP,72h,.981428571,.82,-.807142857,1.125714286,.974285714,.101428571,-1.591428571,-.084285714,1.397142857,-.047142857,.902857143,167.96,58.8,1852,400.3,.94,2.38,60.3,108.2
42,Mexidol,APAP,72h,-.508571429,-1.34,-1.137142857,1.565714286,3.554285714,1.721428571,2.568571429,-.214285714,.247142857,-.127142857,.312857143,180,71.2,1742,490.7,1.19,2.48,62.4,120.5
36,Mexidol,CCL4,24h,-.182857143,-1.132857143,-3.602857143,-.692857143,-1.014285714,.785714286,2.932857143,-.084285714,-.36,-.057142857,-.545714286,253.7,69.6,2696,349.4,.77,1.07,72,137.8
37,Mexidol,CCL4,24h,-.312857143,-1.502857143,-2.392857143,-1.132857143,-1.154285714,1.345714286,1.062857143,-1.454285714,2.33,-.427142857,-.715714286,233,62.7,1721,365.3,.94,1.96,66.7,107.9
38,Mexidol,CCL4,24h,-1.252857143,-1.382857143,-3.712857143,-1.522857143,-2.494285714,.865714286,1.932857143,-.584285714,.53,-1.527142857,-.025714286,210.5,62.7,2970,428.1,.61,1.96,66,170.1
39,Mexidol,CCL4,24h,-.582857143,-1.522857143,-3.432857143,-1.852857143,-1.524285714,.345714286,1.082857143,-1.134285714,2.03,-1.677142857,-1.865714286,204.1,53.3,2283,394.2,.5,1.96,66.7,106
40,Mexidol,CCL4,24h,-2.792857143,-.562857143,-3.722857143,-.372857143,-1.614285714,-.794285714,.682857143,-.974285714,.7,.112857143,-.555714286,239.3,79,1721,395,1.01,2.24,61.6,128.8
41,Mexidol,CCL4,24h,-.502857143,-1.262857143,-3.322857143,-1.692857143,-1.984285714,.205714286,1.712857143,-1.184285714,2.63,-1.737142857,-.975714286,233,81.4,2464,365.3,.94,1.87,68.5,135
42,Mexidol,CCL4,24h,-1.292857143,-1.552857143,-4.102857143,-1.412857143,-1.364285714,1.135714286,1.542857143,-1.064285714,.64,-2.457142857,-.895714286,204.8,72.7,1258,358.2,.64,1.48,64.9,128.8
36,Mexidol,CCL4,72h,.367142857,-.077142857,-.231428571,-1.701428571,-.141428571,-.282857143,3.174285714,-.334285714,2.828571429,-.938571429,-.568571429,228.9,42.3,1675,350.1,.99,2.71,81.8,160
37,Mexidol,CCL4,72h,1.277142857,-.207142857,-.951428571,-2.331428571,.088571429,-.372857143,2.554285714,-.554285714,2.558571429,-.828571429,-.948571429,205.6,49.7,2079,353,.55,2.47,72.2,160
38,Mexidol,CCL4,72h,.767142857,-1.197142857,-1.781428571,-1.591428571,-.061428571,-1.322857143,1.834285714,-.824285714,1.558571429,-.588571429,-1.568571429,286.1,95.6,1979,248,.68,2,96,178.5
39,Mexidol,CCL4,72h,.587142857,-.747142857,-.811428571,-.911428571,.178571429,-.552857143,2.774285714,-.974285714,2.218571429,-.298571429,-1.358571429,214.1,106,2924,177,.63,1.7,81.8,158.7
40,Mexidol,CCL4,72h,1.827142857,-.377142857,-2.551428571,-1.731428571,-.231428571,.237142857,2.594285714,-.724285714,2.068571429,-1.238571429,-1.238571429,282.4,94.9,2601,543.5,.67,1.93,54.3,166.1
41,Mexidol,CCL4,72h,1.287142857,-.387142857,-.891428571,-1.081428571,.538571429,.067142857,1.684285714,-1.104285714,3.138571429,-1.058571429,-1.328571429,226,49.7,2613,601.9,.49,2.46,96,137.2
42,Mexidol,CCL4,72h,.517142857,.272857143,-1.781428571,-.721428571,.618571429,.267142857,2.944285714,.195714286,2.468571429,-.848571429,-.018571429,214.1,84.6,2383,419.2,.94,2.75,69.3,172
36,Mexidol,EtOH,24h,-1.798333333,2.041428571,.597142857,-1.092857143,.98,2.052857143,-6.034285714,-4.761428571,1.22,1.198571429,1.543333333,148.8,33,1201,662.8,.92,2.95,64.2,87.5
37,Mexidol,EtOH,24h,.191666667,-.298571429,-.692857143,.477142857,.23,-.407142857,-7.964285714,-6.231428571,.46,.018571429,-.006666667,158.5,48,1460,423.1,.5,2.4,61.2,49.3
38,Mexidol,EtOH,24h,-.805,-2.568571429,-2.742857143,3.077142857,-8.42,-3.807142857,-3.304285714,-7.851428571,-.41,-1.681428571,-3.926666667,158.3,47,1135,366.1,2.43,1.78,58.6,90
39,Mexidol,EtOH,24h,-2.138333333,.601428571,-.572857143,-3.082857143,.86,.372857143,-7.004285714,-5.391428571,.72,-.691428571,-.886666667,151.3,39,879.6,578.3,1.28,1.99,55.9,96.2
40,Mexidol,EtOH,24h,-.805,.15,-.63,-1.912857143,3.23,-1.387142857,-7.04,-5.835,.97,.075,.09,188.5,45.9,1378,775.5,.91,1.7,67.4,77.4
41,Mexidol,EtOH,24h,.691666667,-.778571429,-.132857143,-7.882857143,1.48,.972857143,-7.134285714,-8.041428571,2.44,.158571429,.843333333,169,42.3,1559,673.9,1.05,2.42,66.2,68.7
42,Mexidol,EtOH,24h,-.805,.711428571,-.792857143,-2.732857143,1.71,1.112857143,-7.084285714,-5.441428571,3.08,.128571429,.193333333,249.3,60.5,2575,738.3,1.17,2.2,72.7,109.7
36,Mexidol,EtOH,72h,-.728,-1.551666667,.405,-.971428571,-1.41,-1.702857143,1.434285714,-1.115714286,.445714286,-1.037142857,-2.46,191.5,20.6,2141,263.8,.8,1.87,74,252.5
37,Mexidol,EtOH,72h,-1.588,-.581666667,.165,-.131428571,-.57,-1.672857143,.044285714,-1.335714286,-.094285714,-.807142857,-1.27,149,42.8,1977,307.3,1.04,1.44,58.9,111.1
38,Mexidol,EtOH,72h,-.498,-1.511666667,-1.025,-1.121428571,-1.21,-1.292857143,-1.625714286,-.525714286,.955714286,-.477142857,-2.71,150.8,28.8,1112,294.2,1.21,1.55,57.5,108
39,Mexidol,EtOH,72h,-.328,-1.921666667,.095,-.291428571,-2.2,-1.602857143,-.215714286,-.535714286,.245714286,.342857143,-2.47,118.7,31.3,1766,138.7,1.15,1.71,58.3,112.1
40,Mexidol,EtOH,72h,-.468,-1.131666667,-1.635,-1.451428571,-1.5,-1.782857143,-.305714286,-.895714286,.565714286,-1.867142857,-3.31,139.1,25.6,756.3,251.8,1.18,1.64,58.8,98.6
41,Mexidol,EtOH,72h,.402,-1.421666667,-.775,-.221428571,-1.95,-1.512857143,-2.035714286,-1.335714286,-.294285714,-.477142857,-2.92,193.1,16.6,1091,346,1.53,1.66,66.5,107.7
42,Mexidol,EtOH,72h,.682,1.298333333,-.935,-.521428571,-1.28,-1.242857143,.204285714,-.865714286,1.885714286,-1.347142857,-2,232.8,21.1,1909,397.1,2.36,2.33,73.1,217.1
50,OMU,APAP,24h,-1.021666667,-3.042857143,-.791428571,.451428571,-1.284285714,.358571429,.478571429,-2.2,3.138571429,-.988571429,.971428571,226.9,57.4,2693,430.5,1.25,2.21,66.9,114.4
51,OMU,APAP,24h,-.611666667,-.972857143,-2.831428571,1.451428571,-1.834285714,-.031428571,.388571429,-2.17,2.958571429,-.408571429,.251428571,239.6,60.5,2737,512.3,1.25,2.63,76.8,157.8
52,OMU,APAP,24h,-.741666667,-3.542857143,-.061428571,.381428571,-1.384285714,-.661428571,2.238571429,-1.33,2.398571429,-.828571429,-.318571429,205.7,52.1,2403,391.4,1.56,1.94,69.6,94.6
53,OMU,APAP,24h,-.88,-2.852857143,1.558571429,2.251428571,-1.794285714,-.011428571,2.138571429,-1.88,2.048571429,-1.048571429,-.108571429,177,59.4,1847,494.7,1.27,1.78,67.3,105.4
54,OMU,APAP,24h,-1.951666667,-1.562857143,-.421428571,.615,.175714286,-5.081428571,-.621428571,-.64,2.718571429,-.578571429,.141428571,222.1,56.1,2958,474.2,1.24,2.61,72.7,116.5
55,OMU,APAP,24h,-1.221666667,-1.322857143,.998571429,.781428571,-.894285714,.128571429,4.448571429,-.33,1.528571429,-.468571429,-.258571429,191.1,52.9,2173,605.7,1.31,2.75,69.2,127.9
56,OMU,APAP,24h,.048333333,-.392857143,-.261428571,-.168571429,-1.094285714,-.091428571,1.008571429,-3.05,.718571429,-.705,1.221428571,235.3,84,2359,474.2,.95,2.31,64.2,111.6
50,OMU,APAP,72h,-.448571429,-.54,-1.205,3.515714286,.674285714,-3.008571429,.478571429,-1.494285714,.077142857,-.215,2.552857143,226.6,66.9,2433,442.6,.93,2.78,73.9,116.2
51,OMU,APAP,72h,-.228571429,-.9,-3.197142857,2.885714286,1.264285714,.791428571,.388571429,-1.144285714,1.067142857,1.002857143,2.452857143,176.7,61.4,2572,286.9,1.33,2.94,73.2,100.5
52,OMU,APAP,72h,1.161428571,-.24,-2.627142857,.695714286,2.104285714,.601428571,2.238571429,.385714286,-.312857143,-.727142857,-.287142857,184.2,65.5,1769,375,1.1,3.18,66.2,114.4
53,OMU,APAP,72h,1.101428571,-.54,-1.287142857,.825714286,1.284285714,1.501428571,2.138571429,-.884285714,-.372857143,.012857143,-.177142857,165.3,47.7,1793,280.3,1.07,2.63,67.5,114.4
54,OMU,APAP,72h,.751428571,-.54,.732857143,1.805714286,.634285714,.171428571,-.621428571,.765714286,.087142857,-.487142857,.652857143,197.9,68.6,2129,481.8,1.01,3.08,70.3,145.8
55,OMU,APAP,72h,.331428571,1.22,-1.117142857,.935714286,.174285714,.591428571,4.448571429,.385714286,1.857142857,.302857143,-.257142857,176.7,89.9,2021,456.6,.85,3.45,71.5,127
56,OMU,APAP,72h,-.008571429,-.65,-.987142857,1.355714286,1.194285714,1.751428571,1.008571429,-.154285714,.657142857,-.437142857,.302857143,219.2,81.2,2227,388,1.09,2.66,63.1,130.4
50,OMU,CCL4,24h,-1.682857143,-2.132857143,-2.992857143,-1.602857143,-1.004285714,-.334285714,1.922857143,-3.284285714,.66,-1.357142857,-1.815714286,149.4,54.2,1671,383.2,1.14,1.25,68.8,134.7
51,OMU,CCL4,24h,-.302857143,-1.252857143,-2.852857143,-1.622857143,-.134285714,.185714286,2.112857143,-.574285714,.14,-1.757142857,-.475714286,149.4,67.9,2113,383.2,.73,1.34,68.8,134.7
52,OMU,CCL4,24h,-.242857143,-1.122857143,-3.092857143,-1.312857143,-.824285714,-.034285714,2.442857143,-1.004285714,.71,-.417142857,-.635714286,174.2,67.9,2500,409.2,.46,.87,65.7,143
53,OMU,CCL4,24h,-1.262857143,.197142857,-3.392857143,-.842857143,-2.804285714,.765714286,2.432857143,-2.074285714,1.64,-.307142857,-.065714286,180.5,82.8,2434,220.5,.73,1.47,67.6,131.6
54,OMU,CCL4,24h,-.662857143,-.642857143,-4.892857143,-2.112857143,3.755714286,-.474285714,1.572857143,-2.074285714,.85,-2.087142857,-.925714286,174.2,67.9,2113,370,.39,1.34,56.5,124.2
55,OMU,CCL4,24h,-2.472857143,-1.752857143,-3.272857143,1.347142857,-4.094285714,1.265714286,-.137142857,-2.604285714,2.24,-1.897142857,-1.275714286,149.4,82.8,2603,370,.79,1.19,63.2,111
56,OMU,CCL4,24h,-1.842857143,-2.162857143,-3.232857143,-.062857143,-.82,.385714286,1.792857143,-.964285714,1.31,-.857142857,.034285714,174.2,82.1,1653,370,1.31,1.42,63.2,115.3
50,OMU,CCL4,72h,.087142857,-1.237142857,-1.271428571,-1.471428571,-.221428571,.587142857,1.414285714,-1.294285714,.938571429,-1.178571429,-1.798571429,198,62.4,1648,430.4,.45,1.83,54.4,114.4
51,OMU,CCL4,72h,.067142857,-1.187142857,-1.891428571,-2.261428571,.108571429,-.662857143,2.184285714,1.705714286,1.738571429,-1.158571429,-.978571429,198,92,2672,550,.84,1.5,66.1,122.7
52,OMU,CCL4,72h,1.567142857,-.537142857,-1.931428571,-1.021428571,.918571429,.567142857,1.854285714,-.164285714,2.988571429,-1.078571429,-1.578571429,193,72.9,2135,548.6,.49,1.57,56.9,100.8
53,OMU,CCL4,72h,-.312857143,-1.127142857,-3.331428571,-.261428571,.228571429,1.047142857,2.404285714,-.484285714,4.068571429,-1.508571429,-.838571429,279.7,72.9,1732,472.3,.52,1.83,67.7,117.7
54,OMU,CCL4,72h,-.632857143,-.077142857,-.651428571,-2.161428571,.758571429,.757142857,3.404285714,.545714286,1.838571429,-1.218571429,-1.028571429,264.9,64.9,1494,363.4,.55,1.57,71.2,161.8
55,OMU,CCL4,72h,.447142857,-2.397142857,-1.861428571,-1.451428571,.288571429,.337142857,1.314285714,-.674285714,.718571429,-1.188571429,-1.258571429,249.3,92.5,1709,284.6,.52,1.59,63.5,104.8
56,OMU,CCL4,72h,-.042857143,.102857143,-.341428571,-1.971428571,1.028571429,-.412857143,4.874285714,1.045714286,2.168571429,-.928571429,-1.218571429,198,92,1861,490.1,.59,1.48,64.3,121.8
50,OMU,EtOH,24h,1.071666667,1.021428571,1.047142857,-4.422857143,.88,.772857143,-4.234285714,-3.611428571,2.37,-.701428571,.713333333,149.6,33.6,1187,450.9,2.03,1.99,121.4,130
51,OMU,EtOH,24h,1.081666667,.671428571,1.767142857,-1.322857143,2.74,2.252857143,-4.664285714,-3.111428571,1.6,.278571429,.983333333,135.4,34.9,836.8,270.1,1.81,2.64,64.1,105.7
52,OMU,EtOH,24h,-.688333333,.031428571,-.352857143,1.047142857,.67,-.297142857,-5.114285714,-4.281428571,1.72,.378571429,-.336666667,189.4,44.1,861.1,285.9,.89,1.7,62.1,121.8
53,OMU,EtOH,24h,1.231666667,.131428571,.847142857,-3.122857143,1.07,1.132857143,-4.504285714,-3.341428571,1.51,-.111428571,.533333333,168,43.4,1249,464,.88,1.73,46.2,92.8
54,OMU,EtOH,24h,.091666667,.811428571,1.087142857,-2.612857143,1.17,1.722857143,-5.024285714,-3.391428571,3.13,.218571429,1.513333333,165,32.8,1001,548.6,.69,1.86,56.7,129.8
55,OMU,EtOH,24h,-.208333333,1.311428571,.647142857,-1.965,2.08,1.962857143,-5.494285714,-4.741428571,2.33,.178571429,1.203333333,157.9,35.2,985,434.2,.44,1.8,63.8,100.8
56,OMU,EtOH,24h,-.328333333,-.838571429,.297142857,-.632857143,-.3,.942857143,-6.204285714,-4.851428571,.02,.378571429,1.193333333,179.8,30.3,1036,300.2,1.19,1.82,63.3,94.9
50,OMU,EtOH,72h,.072,2.868333333,.975,-.341428571,.6,-.242857143,2.234285714,-.025714286,1.665714286,1.572857143,1.28,155.6,27,1723,347.4,.58,3.3,60.9,106.7
51,OMU,EtOH,72h,-1.058,-.511666667,.375,-.791428571,-1.81,-1.422857143,-1.385714286,.144285714,-.634285714,-1.647142857,-2.25,162.1,41.4,1973,247.4,1.01,2.93,54.2,116.5
52,OMU,EtOH,72h,-.968,-.401666667,-.265,-1.181428571,-2.74,-1.752857143,-1.325714286,-.985714286,.015714286,-1.857142857,-2.96,118.4,15.7,712,303.1,.66,3.83,55.1,86.1
53,OMU,EtOH,72h,-.665,.175,1.495,1.588571429,3.18,.677142857,.934285714,.434285714,1.065714286,-1.405,-2.52,157.3,24.5,999.8,415.9,.29,2.9,54.2,85.7
54,OMU,EtOH,72h,.642,.318333333,3.595,-1.131428571,-1.49,-1.892857143,-1.065714286,-.945714286,-.274285714,-.997142857,-2.79,155.6,27,1723,347.4,.58,3.3,60.9,106.7
55,OMU,EtOH,72h,-1.078,.028333333,.005,-.931428571,-1.45,.677142857,-1.365714286,-1.015714286,.545714286,-1.297142857,-3.29,185,19.6,1700,274.5,1.3,3.3,55.4,157
56,OMU,EtOH,72h,-.358,.638333333,1.195,-.191428571,-1.85,-1.832857143,-.755714286,-.665714286,.845714286,-1.507142857,-1.19,150.3,23.1,1788,229.5,.79,3.23,53.3,108.4
